"Newsman Remarketing","Newsman Remarketing"
"Remarketing","Remarketing"
"General","General"
"Active","Activ"
"Disable or enable Newsman Remarketing features.","Dezactivați sau activați funcțiile de Newsman Remarketing."
"Newsman Remarketing ID","ID Newsman Remarketing"
"Anonymize IP Address","Anonimizați adresa IP"
"Category List","Categorie cu produse"
"Search List","Lista de cautare"
"Brand Attribute","Atributul mărcii"
"Please select an attribute","Vă rugăm să selectați un atribut"
"Order %1 with state %2 added to queue.","Comanda %1 in starea %2 a fost adăugată in coadă."
"Order %1 with state %2 removed from queue.","Comanda %1 in starea %2 a fost eliminată din coadă."
"Published order state change for order ID %1 to the queue.","Modificare starii comenzii %1 a fost publicată în coadă."
"Try to set purchase %1 state %2, list %3","Încercare de trimitere a stării %2 a comenzii %1, lista %3"
"Purchase %1 state %2 sent, list %3","Comanda %1 stare %2 trimisă, lista %3"
"Invalid request","Cerere nevalidă"
"Invalid request method %1 on requested path %2","Metodă de solicitare invalidă %1 pentru calea solicitată %2"
"Invalid absolute URL provided in path %1","URL absolut nevalid furnizat în calea %1"
"Use Proxy","Folosește proxy-ul"
"All requests (JavaScript, images, data, etc) are fetched or sent through Magento to Newsman app. Otherwise, an external JavaScript is included in page (browser client side).","Toate cererile (JavaScript, imagini, date etc.) sunt preluate sau trimise prin Magento către aplicația Newsman. În caz contrar, în pagină este inclus un cod JavaScript extern (pe partea de client a browserului)."
"Flush Newsman Remarketing JavaScript Files","Ștergeți fișierele JavaScript din Newsman Remarketing"
"Cached JavaScript files for tracking","Fișiere JavaScript memorate în cache pentru urmărire"
"Tracking JavaScript cache has been cleaned.","Memoria cache JavaScript pentru urmărire a fost curățată."
"An error occurred while clearing the tracking JavaScript cache.","A apărut o eroare la ștergerea memoriei cache JavaScript de urmărire."
"Script","Script"
"Please do not change unless instructed. Please do not copy paste the script from Newsman web interface here.","Vă rugăm să nu modificați decât dacă vi se solicită acest lucru. Vă rugăm să nu copiați și să lipiți scriptul din interfața web Newsman aici."
"Developer","Dezvoltator"
"Log Proxy Requests","Înregistrați cererile proxy"
